postcode;j0-4 jaar;j5-11 jaar;j12-17 jaar;j18-24 jaar;j25-49 jaar;j50-64 jaar;j65-74 jaar;j75-79 jaar;j80-84 jaar;j85-89 jaar;j90-94 jaar;j95-plus jaar
2150;721;982;651;762;3567;2158;1196;424;336;190;74;16
2160;639;1017;852;996;3790;2890;1459;490;400;294;134;33
2900;1568;2582;2229;2741;9920;7494;3947;1386;1173;828;346;105
2940;841;1444;1270;1411;5859;4017;2355;654;445;261;114;21
2000;1277;1322;1103;3336;18157;6944;3292;1065;775;531;279;90
2018;4369;5700;4309;5525;24940;8455;3977;1249;962;783;444;161
2020;2129;3097;2349;2266;9648;4402;1900;696;600;457;171;54
2030;635;1070;656;474;1985;977;469;150;142;101;38;15
2050;969;1484;1021;1055;4744;3150;2036;826;744;547;271;54
2060;2890;4125;3140;4128;18283;6590;2247;646;487;295;119;16
2040;493;863;733;700;3142;2156;1080;348;225;152;57;12
2100;5952;8076;5767;5842;27757;13174;6908;2769;2269;1521;700;197
2140;3407;4723;3685;3840;16871;7030;3125;1095;1004;672;296;94
2170;2921;4324;3300;3438;14523;8080;4148;1464;1287;922;374;88
2180;1673;2554;1959;2145;9141;5564;2697;965;807;614;250;61
2600;2413;3159;2549;3077;15937;7352;4012;1670;1353;1024;515;138
2610;2647;3635;2704;3081;13841;7459;3971;1439;1310;1046;483;130
2660;2825;4328;3480;3315;13317;7082;3608;1301;980;656;236;47
